Gender,Marital_Status,Employment_Type,Education_Level,Loan_Purpose,Age,Loan_Amount,Tenure_Months,Income
Female,Married,Salaried,PhD,Business,56,63072,35,1672563
Male,Married,Unemployed,Diploma,Personal,22,755466,17,1699260
Female,Married,Salaried,Master,Medical,39,618108,15,1713542
Female,Widowed,Self-employed,Bachelor,Business,46,487746,49,599567
Female,Single,Unemployed,Master,Medical,20,33284,16,481322
Female,Widowed,Salaried,Diploma,Housing,29,988834,20,160776
Female,Single,Salaried,Bachelor,Housing,43,93369,21,1724308
Female,Single,Unemployed,High School,Personal,33,821554,22,418444
Female,Widowed,Self-employed,PhD,Medical,54,926781,31,1212369
Male,Widowed,Salaried,High School,Business,39,866985,7,1476998
Female,Widowed,Unemployed,Bachelor,Personal,46,747266,55,260809
Male,Married,Self-employed,High School,Housing,31,891220,17,1270192
Female,Single,Unemployed,Bachelor,Education,45,597100,56,1463967
Female,Widowed,Unemployed,Master,Housing,22,280143,31,1340838
Female,Married,Self-employed,Diploma,Medical,64,294580,28,583285
Female,Married,Self-employed,Diploma,Medical,47,839395,23,1204678
Female,Married,Salaried,Master,Education,63,667456,37,922143
Female,Widowed,Salaried,PhD,Business,22,533156,54,1476765
Female,Single,Self-employed,Diploma,Business,29,779097,43,615148
Male,Married,Unemployed,Master,Personal,33,428495,52,1363945
Female,Widowed,Unemployed,Bachelor,Education,43,262164,8,1732978
Female,Divorced,Unemployed,Diploma,Business,43,905331,43,1026974
Male,Married,Salaried,High School,Education,38,779605,8,687506
Male,Married,Self-employed,Diploma,Business,56,298345,35,572070
Male,Single,Unemployed,PhD,Medical,53,160787,6,1985772
Female,Divorced,Salaried,High School,Education,50,170381,35,157041
Male,Divorced,Unemployed,High School,Personal,47,680438,50,424368
Female,Married,Unemployed,Bachelor,Personal,54,459830,37,375800
Male,Single,Salaried,Master,Education,40,539393,33,1543672
Female,Divorced,Salaried,Bachelor,Business,27,914098,26,766438
Male,Married,Unemployed,PhD,Education,22,366992,51,531862
Male,Single,Self-employed,Diploma,Personal,53,799271,18,1174866
Male,Single,Unemployed,Master,Housing,51,78920,32,1155209
Male,Widowed,Salaried,Master,Medical,48,840051,41,1911663
Male,Widowed,Unemployed,Diploma,Housing,27,577109,12,1219694
Female,Widowed,Unemployed,Master,Education,36,660024,27,748961
Male,Divorced,Unemployed,Bachelor,Medical,49,940997,15,1101690
Male,Widowed,Unemployed,PhD,Personal,18,551357,44,862934
Female,Divorced,Salaried,Bachelor,Housing,22,515659,58,99768
Male,Married,Salaried,Diploma,Business,62,17531,20,1408848
Male,Widowed,Salaried,High School,Housing,21,440267,20,1511820
Male,Widowed,Self-employed,Diploma,Personal,33,673096,9,1023069
Male,Married,Self-employed,Diploma,Education,41,673070,37,133123
Female,Married,Self-employed,Master,Housing,33,77155,28,1731119
Male,Divorced,Self-employed,Diploma,Personal,19,941479,11,216405
Female,Divorced,Unemployed,High School,Business,45,596712,29,53174
Female,Widowed,Self-employed,Master,Housing,49,317747,25,167769
Male,Single,Salaried,Bachelor,Personal,44,950756,42,347542
Male,Single,Salaried,Bachelor,Personal,37,484013,25,479145
Female,Divorced,Self-employed,Master,Housing,41,142503,17,1233969
Female,Married,Salaried,PhD,Business,29,739963,38,1484269
Male,Married,Salaried,Master,Business,52,702841,33,1849907
Male,Single,Self-employed,PhD,Business,50,889005,13,816868
Male,Divorced,Salaried,Diploma,Personal,50,674917,6,1285069
Male,Married,Self-employed,Bachelor,Business,60,375446,42,646923
Female,Divorced,Unemployed,Master,Business,54,665522,27,1908768
Male,Married,Unemployed,Bachelor,Business,29,962246,11,978864
Male,Divorced,Unemployed,PhD,Education,20,29675,26,1764249
Male,Married,Salaried,High School,Medical,18,83997,37,817166
Male,Widowed,Unemployed,PhD,Medical,50,158087,40,267070
Female,Married,Unemployed,Diploma,Education,57,977561,20,449017
Female,Divorced,Self-employed,Master,Personal,27,960095,10,1899138
Female,Single,Unemployed,Diploma,Education,60,496799,51,981775
Male,Married,Salaried,Bachelor,Housing,61,529349,55,1507867
Male,Divorced,Unemployed,Master,Housing,46,765678,53,1594247
Female,Divorced,Unemployed,High School,Medical,30,150905,11,419359
Male,Divorced,Salaried,High School,Personal,29,280040,30,1248632
Female,Widowed,Self-employed,Diploma,Medical,48,436188,51,924527
Female,Divorced,Self-employed,Diploma,Business,63,321877,45,897374
Female,Single,Unemployed,PhD,Housing,19,785723,34,193933
Female,Widowed,Unemployed,Diploma,Housing,52,576088,12,1197546
Male,Widowed,Self-employed,Diploma,Education,40,106044,45,1180779
Female,Widowed,Salaried,PhD,Medical,34,277491,18,1290895
Male,Single,Unemployed,Bachelor,Housing,43,724423,43,1298749
Male,Married,Salaried,High School,Education,25,499066,23,551946
Male,Divorced,Unemployed,Diploma,Housing,46,668003,7,726337
Female,Single,Salaried,High School,Education,43,312929,13,1542409
Male,Single,Unemployed,High School,Medical,27,815113,16,1316302
Male,Widowed,Unemployed,Bachelor,Medical,43,977530,38,924609
Female,Divorced,Unemployed,PhD,Education,51,376008,59,1695766
Female,Widowed,Salaried,Diploma,Housing,58,943396,43,142172
Male,Widowed,Salaried,Diploma,Personal,24,843731,53,720990
Male,Divorced,Salaried,PhD,Business,21,27073,32,594344
Male,Married,Self-employed,Diploma,Housing,62,898736,25,1237030
Female,Widowed,Self-employed,High School,Education,28,564970,17,1154315
Male,Divorced,Unemployed,PhD,Education,46,763158,48,1966693
Male,Divorced,Salaried,Bachelor,Housing,53,762254,36,98639
Male,Married,Unemployed,Bachelor,Personal,42,920734,32,503054
Male,Single,Unemployed,Bachelor,Personal,38,417505,37,489257
Female,Married,Salaried,PhD,Education,53,125359,15,837424
Female,Single,Salaried,Master,Education,27,935431,8,646682
Female,Married,Salaried,Master,Education,54,975834,50,379801
Male,Widowed,Salaried,High School,Medical,26,76707,32,863592
Female,Married,Salaried,Bachelor,Housing,41,261351,40,1930164
Male,Married,Salaried,PhD,Personal,52,480670,36,232447
Female,Divorced,Salaried,Diploma,Personal,52,248511,20,398586
Male,Married,Unemployed,Master,Medical,53,245718,21,724932
Male,Widowed,Salaried,Master,Housing,35,599716,18,430069
Male,Widowed,Unemployed,Bachelor,Business,56,60601,54,54136
Male,Widowed,Unemployed,PhD,Housing,49,405755,40,111868
Male,Divorced,Salaried,High School,Education,41,505479,57,394407
Male,Married,Unemployed,High School,Business,40,645775,16,868599
Female,Widowed,Unemployed,High School,Medical,49,688029,26,160957
Male,Widowed,Self-employed,Bachelor,Business,54,474184,56,589767
Male,Married,Self-employed,PhD,Personal,29,423860,59,169392
Female,Single,Salaried,Diploma,Personal,30,421961,16,1785312
Male,Single,Unemployed,High School,Personal,40,261924,35,710183
Female,Divorced,Self-employed,Master,Personal,42,793441,53,830516
Female,Single,Self-employed,Master,Medical,52,824660,58,1300104
Female,Married,Salaried,High School,Housing,58,533394,40,856017
Female,Widowed,Salaried,Diploma,Personal,47,259430,27,1333423
Female,Divorced,Salaried,High School,Medical,34,437737,43,1911627
Female,Single,Self-employed,Master,Housing,37,132788,36,911501
Female,Single,Salaried,Master,Personal,42,631527,19,1400615
Male,Single,Self-employed,PhD,Education,39,561216,29,315864
Male,Married,Self-employed,Master,Education,30,290466,55,331411
Male,Married,Salaried,High School,Medical,36,460930,54,1245344
Female,Single,Self-employed,PhD,Education,53,360040,37,735328
Male,Widowed,Salaried,Bachelor,Personal,29,72292,41,365508
Female,Divorced,Unemployed,PhD,Personal,58,563343,37,466561
Female,Single,Unemployed,PhD,Business,36,315035,20,101567
Female,Divorced,Salaried,PhD,Housing,29,616200,48,141229
Male,Married,Salaried,Bachelor,Personal,26,671948,40,1029111
Male,Divorced,Salaried,Bachelor,Personal,24,362680,8,1511177
Female,Divorced,Self-employed,High School,Housing,45,278448,21,1575450
Male,Married,Self-employed,Bachelor,Medical,31,541633,10,1297892
Female,Divorced,Self-employed,High School,Personal,48,170372,26,1819361
Female,Single,Self-employed,Bachelor,Personal,36,951763,15,914950
Female,Single,Salaried,Bachelor,Medical,64,101006,24,657132
Male,Single,Self-employed,PhD,Education,33,942856,30,1262567
Female,Single,Unemployed,Master,Business,22,139350,9,1713561
Female,Widowed,Salaried,High School,Medical,52,698725,34,1680060
Female,Widowed,Salaried,PhD,Education,29,815878,24,689888
Male,Widowed,Self-employed,Diploma,Education,42,798768,48,674913
Female,Divorced,Self-employed,Master,Business,38,858464,7,1571193
Female,Widowed,Self-employed,Bachelor,Education,53,216487,15,967999
Female,Widowed,Unemployed,High School,Housing,40,107852,48,881187
Female,Single,Salaried,PhD,Medical,33,502092,30,1131900
Male,Single,Self-employed,Diploma,Business,56,148593,25,915361
Female,Single,Salaried,Bachelor,Housing,62,737067,53,444768
Female,Married,Self-employed,Master,Education,59,688841,24,101272
Male,Divorced,Self-employed,Diploma,Business,56,290618,28,479069
Female,Divorced,Unemployed,High School,Housing,31,187832,29,299264
Male,Married,Salaried,Bachelor,Education,48,852150,16,738284
Female,Single,Unemployed,Bachelor,Medical,22,316773,51,1959470
Female,Married,Self-employed,Diploma,Personal,52,55232,39,1850323
Female,Divorced,Unemployed,Bachelor,Personal,40,358688,33,1777825
Male,Divorced,Salaried,High School,Education,46,470385,10,286538
Male,Single,Self-employed,PhD,Medical,60,793301,10,628963
Male,Widowed,Self-employed,Diploma,Housing,28,322813,56,565447
Male,Single,Self-employed,High School,Education,35,219093,26,1172167
Male,Divorced,Self-employed,PhD,Education,64,341328,17,1561982
Female,Divorced,Salaried,PhD,Personal,29,713305,55,203706
Female,Single,Unemployed,Master,Business,26,23140,9,1393083
Female,Widowed,Unemployed,Diploma,Business,27,398612,59,1293400
Female,Divorced,Unemployed,Master,Personal,61,617745,54,389148
Female,Divorced,Salaried,High School,Education,34,548645,47,1023902
Male,Widowed,Self-employed,Master,Personal,55,533375,25,803818
Female,Single,Salaried,Bachelor,Education,24,121672,43,877150
Female,Married,Self-employed,PhD,Housing,63,340817,30,1212203
Female,Widowed,Unemployed,PhD,Personal,30,655961,19,1836852
Male,Divorced,Unemployed,Diploma,Personal,57,599921,16,339014
Female,Single,Self-employed,Master,Education,59,742303,37,1135970
Female,Widowed,Self-employed,High School,Education,26,630399,16,888489
Male,Divorced,Salaried,Bachelor,Business,44,874690,23,1178371
Female,Widowed,Self-employed,Master,Education,19,416140,32,392553
Male,Widowed,Salaried,Master,Housing,22,79286,59,1898024
Male,Divorced,Salaried,Master,Medical,46,103269,23,92137
Female,Single,Unemployed,Master,Business,54,268635,28,1491945
Male,Married,Unemployed,PhD,Business,55,84071,16,188925
Female,Single,Unemployed,Bachelor,Housing,36,460542,26,586667
Male,Widowed,Unemployed,PhD,Education,25,231095,49,983296
Male,Single,Self-employed,PhD,Medical,62,523317,10,171169
Male,Single,Salaried,PhD,Medical,18,40651,28,1268015
Female,Single,Unemployed,High School,Housing,39,80202,46,1247748
Male,Widowed,Unemployed,Master,Education,34,58777,30,1748946
Female,Single,Salaried,Diploma,Education,24,158066,46,425233
Male,Married,Self-employed,High School,Business,42,863695,59,1030960
Female,Widowed,Self-employed,Diploma,Medical,62,200706,15,1633913
Female,Married,Salaried,Diploma,Medical,21,634446,27,1492578
Male,Single,Unemployed,Diploma,Business,53,807232,24,513120
Male,Single,Salaried,Diploma,Education,23,834255,6,1784635
Male,Single,Self-employed,Bachelor,Education,48,773935,12,884123
Female,Married,Self-employed,PhD,Medical,36,336022,9,1266688
Female,Divorced,Self-employed,Master,Housing,61,290852,6,823815
Female,Married,Unemployed,Bachelor,Education,56,678179,20,274062
Female,Single,Salaried,Diploma,Education,44,740265,45,107986
Male,Single,Salaried,Bachelor,Housing,27,598158,17,481978
Male,Married,Unemployed,Diploma,Education,43,543571,27,1777536
Female,Single,Salaried,Diploma,Education,36,695933,27,1455494
Male,Divorced,Unemployed,Diploma,Personal,56,875139,55,1844713
Female,Married,Self-employed,High School,Education,20,434149,52,1839639
Female,Single,Unemployed,PhD,Housing,62,540062,22,1203891
Female,Widowed,Self-employed,PhD,Medical,30,213127,34,369348
Female,Widowed,Self-employed,Bachelor,Personal,45,152055,51,1380805
Male,Married,Salaried,Master,Medical,37,630756,19,752214
Male,Divorced,Self-employed,High School,Personal,45,892766,55,1566589
Male,Single,Unemployed,Master,Education,25,814565,25,1838205
Female,Widowed,Unemployed,Master,Housing,58,942443,55,745139
Female,Widowed,Unemployed,PhD,Business,56,535069,53,1810143
Female,Widowed,Unemployed,Diploma,Business,18,124586,38,275687
Male,Widowed,Self-employed,Master,Personal,20,459916,48,1394700
Male,Single,Self-employed,Diploma,Medical,30,299768,20,892549
Male,Divorced,Salaried,High School,Medical,45,541111,17,195213
Female,Single,Salaried,High School,Housing,42,552777,45,714704
Male,Single,Self-employed,High School,Business,50,181033,59,65896
Male,Single,Salaried,Master,Medical,55,522880,25,139353
Male,Single,Unemployed,Diploma,Business,23,301262,35,79813
Male,Married,Unemployed,Master,Personal,61,110417,43,1838367
Male,Widowed,Salaried,High School,Education,62,91816,8,1164255
Male,Widowed,Salaried,Master,Education,49,687623,33,716041
Female,Married,Salaried,High School,Business,62,285709,31,1826839
Male,Widowed,Salaried,Master,Housing,64,685714,35,1888236
Female,Single,Self-employed,Diploma,Personal,38,184023,18,1496374
Male,Divorced,Self-employed,Master,Personal,33,887611,18,259755
Female,Widowed,Salaried,Bachelor,Medical,38,557936,7,323541
Male,Single,Self-employed,Diploma,Education,28,453945,42,1397731
Male,Divorced,Self-employed,Bachelor,Business,54,51971,54,1702047
Female,Widowed,Salaried,Diploma,Personal,53,28658,43,405398
Female,Divorced,Unemployed,Master,Business,52,31253,7,1536056
Female,Married,Unemployed,High School,Education,36,467382,41,1665181
Male,Married,Self-employed,PhD,Medical,37,189635,59,1277562
Male,Divorced,Salaried,Bachelor,Education,35,167462,31,265705
Male,Married,Self-employed,Master,Housing,64,360808,16,1987497
Male,Married,Unemployed,PhD,Education,58,716938,13,1091741
Male,Married,Salaried,Bachelor,Medical,31,220097,49,1799190
Male,Married,Self-employed,Diploma,Business,32,638138,45,1400816
Male,Divorced,Salaried,Diploma,Housing,48,960162,48,365929
Male,Single,Unemployed,High School,Business,18,672212,27,102344
Male,Married,Unemployed,PhD,Business,20,530498,25,820348
Male,Widowed,Salaried,High School,Business,33,236058,13,525859
Female,Widowed,Unemployed,High School,Education,40,667911,34,956814
Male,Single,Salaried,Master,Medical,28,868379,45,773906
Female,Widowed,Salaried,PhD,Housing,29,595289,31,508819
Female,Divorced,Unemployed,Diploma,Education,27,190231,35,1258060
Male,Married,Self-employed,Diploma,Business,49,132775,22,1209065
Female,Married,Unemployed,PhD,Business,33,979211,25,494874
Male,Divorced,Unemployed,Master,Housing,25,567531,57,1591633
Female,Divorced,Salaried,PhD,Business,55,687160,21,1541341
Female,Single,Unemployed,Diploma,Housing,29,872371,51,1881531
Male,Divorced,Unemployed,Diploma,Housing,41,329972,48,61549
Female,Divorced,Salaried,High School,Business,45,271716,12,1563008
Male,Widowed,Unemployed,Bachelor,Business,25,410455,21,75739
Female,Divorced,Self-employed,Bachelor,Business,45,278854,50,857641
Male,Married,Self-employed,Master,Education,53,424600,52,681339
Male,Married,Self-employed,Bachelor,Business,43,948542,53,1113692
Male,Widowed,Salaried,High School,Housing,25,181918,32,594333
Female,Single,Self-employed,Master,Medical,45,229055,58,993831
Female,Married,Salaried,PhD,Medical,45,995325,28,85709
Female,Married,Self-employed,PhD,Medical,54,310135,29,1928625
Female,Married,Self-employed,Master,Housing,58,744417,14,1027643
Male,Widowed,Self-employed,Bachelor,Education,53,410187,40,1780841
Male,Single,Unemployed,Bachelor,Business,44,432355,56,1031652
Male,Single,Unemployed,PhD,Business,34,881877,25,1826539
Female,Widowed,Self-employed,Bachelor,Housing,26,218139,42,279167
Female,Single,Unemployed,High School,Medical,50,90257,47,355063
Female,Widowed,Self-employed,PhD,Medical,37,487958,22,919953
Female,Divorced,Salaried,Master,Housing,30,834143,52,536121
Male,Divorced,Salaried,Diploma,Housing,45,16530,36,1050904
Female,Single,Self-employed,Bachelor,Education,46,283260,13,269222
Female,Widowed,Salaried,Diploma,Medical,30,600082,20,763806
Female,Married,Salaried,Diploma,Business,63,927786,36,757788
Female,Divorced,Self-employed,Diploma,Housing,52,220545,58,1015398
Female,Married,Unemployed,Bachelor,Medical,23,667258,35,1048653
Female,Widowed,Salaried,PhD,Education,35,538423,51,842879
Male,Divorced,Salaried,PhD,Personal,22,934133,25,1628363
Male,Divorced,Unemployed,Bachelor,Medical,64,381616,44,1661905
Male,Widowed,Self-employed,High School,Personal,42,921579,58,1392035
Female,Single,Salaried,High School,Housing,19,488336,17,182371
Female,Divorced,Self-employed,Bachelor,Housing,27,785158,54,432650
Female,Married,Salaried,High School,Housing,47,623375,22,1072509
Female,Married,Salaried,Bachelor,Medical,62,730391,47,710354
Female,Widowed,Unemployed,PhD,Personal,22,829812,35,800774
Male,Married,Self-employed,Master,Personal,50,926383,34,1310811
Female,Divorced,Unemployed,Bachelor,Housing,18,289215,24,832119
Male,Single,Unemployed,Bachelor,Medical,35,30074,51,974993
Male,Divorced,Salaried,PhD,Personal,49,756084,16,403791
Male,Divorced,Self-employed,High School,Medical,64,602131,39,1393075
Female,Widowed,Self-employed,PhD,Business,28,49901,55,1434525
Male,Married,Unemployed,PhD,Medical,38,283349,12,1429087
Female,Widowed,Salaried,Diploma,Medical,43,983165,49,1470626
Female,Divorced,Unemployed,High School,Education,42,921093,39,1478129
Female,Divorced,Unemployed,Master,Housing,39,802338,25,913787
Male,Widowed,Self-employed,Master,Personal,44,405807,55,166220
Female,Widowed,Salaried,PhD,Personal,30,922008,43,271421
Female,Married,Unemployed,Master,Business,50,597275,29,399317
Male,Divorced,Self-employed,PhD,Business,51,990874,15,838428
Female,Single,Unemployed,Diploma,Business,58,352829,37,1873935
Female,Single,Self-employed,Master,Housing,52,382598,57,880819
Male,Widowed,Salaried,Master,Housing,18,377631,20,1082469
Male,Single,Salaried,High School,Education,38,588688,42,1101665
Male,Married,Salaried,High School,Personal,23,166222,25,935259
Female,Widowed,Unemployed,Master,Medical,45,41852,8,1381379
Female,Widowed,Unemployed,Diploma,Education,34,970374,42,1405898
Female,Widowed,Salaried,High School,Education,22,523012,45,1611845
Male,Widowed,Self-employed,High School,Housing,48,849188,13,670253
Male,Widowed,Salaried,Bachelor,Medical,22,387501,45,655556
Female,Divorced,Self-employed,Master,Medical,55,653340,49,397186
Female,Divorced,Unemployed,PhD,Housing,20,66481,28,1467191
Male,Divorced,Salaried,Master,Housing,40,797715,45,1300374
Male,Married,Salaried,PhD,Education,54,43691,16,1430831
Female,Single,Salaried,High School,Personal,54,404341,51,287103
Male,Single,Salaried,Diploma,Medical,27,208137,13,1867618
Male,Married,Salaried,High School,Housing,27,560458,34,739925
Male,Divorced,Unemployed,Master,Business,36,542726,35,1985443
Male,Single,Unemployed,Diploma,Housing,34,816527,15,139242
Male,Divorced,Unemployed,Diploma,Personal,38,681514,44,1473924
Female,Divorced,Unemployed,Diploma,Housing,31,411220,33,1097146
Male,Divorced,Self-employed,High School,Housing,26,806184,54,1252532
Male,Married,Salaried,Diploma,Education,63,65426,41,1902207
Female,Divorced,Salaried,PhD,Housing,18,249968,18,634326
Male,Widowed,Self-employed,High School,Housing,62,298963,37,1680650
Male,Married,Unemployed,Master,Housing,30,505384,41,946068
Male,Married,Salaried,Bachelor,Personal,21,888483,42,810330
Female,Widowed,Self-employed,Diploma,Business,18,531121,31,885726
Female,Divorced,Salaried,High School,Housing,57,165289,27,783375
Male,Divorced,Unemployed,Bachelor,Personal,49,271501,9,215250
Male,Divorced,Self-employed,Diploma,Personal,51,529165,36,572820
Male,Married,Salaried,High School,Housing,45,229780,23,312678
Female,Widowed,Self-employed,Diploma,Personal,48,305138,43,1976836
Female,Widowed,Salaried,PhD,Housing,25,680396,29,872564
Female,Single,Salaried,Master,Personal,56,742635,28,348254
Male,Divorced,Unemployed,Diploma,Medical,43,107756,27,1812690
Male,Single,Self-employed,Diploma,Medical,51,452632,7,900012
Male,Single,Self-employed,Bachelor,Medical,20,937091,36,1514261
Female,Widowed,Unemployed,PhD,Education,29,105665,16,1424736
Male,Divorced,Self-employed,Diploma,Personal,18,666005,33,96233
Female,Widowed,Self-employed,Master,Personal,61,172002,51,1296356
Male,Married,Self-employed,High School,Housing,22,271691,37,501448
Female,Married,Self-employed,Master,Personal,47,616123,10,798810
Male,Married,Self-employed,High School,Personal,47,132232,43,1053941
Male,Single,Self-employed,High School,Housing,34,957594,15,156311
Female,Widowed,Unemployed,Bachelor,Housing,64,752849,45,1657273
Female,Married,Self-employed,High School,Personal,40,455358,51,1869095
Female,Divorced,Unemployed,Diploma,Housing,32,253051,29,1500530
Female,Widowed,Unemployed,Diploma,Education,54,167547,40,546246
Female,Married,Salaried,Diploma,Housing,38,422104,49,1909062
Female,Divorced,Unemployed,Diploma,Personal,31,578020,53,79709
Male,Single,Salaried,High School,Education,19,746983,28,1732185
Female,Divorced,Unemployed,Diploma,Business,28,318449,22,1098939
Female,Divorced,Self-employed,High School,Housing,56,711397,6,1895366
Female,Widowed,Unemployed,Diploma,Business,55,543634,36,544829
Female,Single,Unemployed,Diploma,Medical,51,797019,36,446456
Female,Widowed,Unemployed,PhD,Education,55,22763,47,1563993
Male,Widowed,Self-employed,Master,Housing,51,200237,47,95689
Male,Married,Unemployed,PhD,Medical,35,772841,58,1362656
Male,Divorced,Self-employed,Master,Medical,47,866047,39,948704
Male,Married,Self-employed,Diploma,Business,32,439332,14,1713938
Male,Widowed,Salaried,PhD,Business,44,655275,27,225037
Female,Single,Self-employed,Bachelor,Housing,51,226823,18,258606
Female,Widowed,Salaried,Diploma,Education,55,101353,30,1099458
Male,Single,Self-employed,Bachelor,Personal,50,231373,53,1512016
Female,Married,Self-employed,PhD,Medical,41,367792,23,1990235
Male,Married,Salaried,Bachelor,Medical,32,559844,56,829110
Female,Divorced,Unemployed,Bachelor,Personal,47,855474,17,1224441
Male,Single,Salaried,PhD,Business,59,552387,45,1079516
Male,Widowed,Unemployed,Master,Business,34,381233,22,1746609
Female,Widowed,Unemployed,Diploma,Personal,22,186168,20,1522617
Male,Widowed,Unemployed,High School,Housing,46,737346,47,1562532
Female,Widowed,Salaried,Bachelor,Education,21,678590,20,78885
Female,Divorced,Salaried,High School,Medical,27,432225,20,1793992
Male,Single,Self-employed,Diploma,Housing,34,212041,44,446419
Male,Single,Self-employed,High School,Personal,27,43866,18,765601
Male,Married,Self-employed,Master,Personal,34,115400,22,445460
Female,Divorced,Self-employed,PhD,Business,37,880678,37,410466
Female,Married,Unemployed,High School,Business,41,349119,14,1082833
Male,Single,Salaried,PhD,Housing,22,445071,45,1429339
Male,Single,Unemployed,PhD,Business,51,353701,25,71584
Male,Married,Salaried,Diploma,Housing,23,147488,31,1893529
Male,Divorced,Unemployed,Bachelor,Education,19,606804,32,1803953
Male,Single,Unemployed,High School,Business,30,196987,26,869973
Female,Married,Salaried,Master,Education,60,421274,23,603351
Female,Married,Unemployed,Master,Education,60,443934,18,1168844
Male,Divorced,Self-employed,Master,Business,28,304746,21,830594
Female,Widowed,Self-employed,High School,Education,64,477874,14,1749082
Male,Widowed,Salaried,High School,Personal,40,481328,17,1478926
Male,Single,Salaried,Master,Personal,33,199139,49,1556744
Male,Divorced,Salaried,Diploma,Medical,48,168588,43,1846990
Female,Divorced,Unemployed,Master,Education,28,663583,24,1269211
Female,Married,Unemployed,PhD,Medical,33,622257,12,220824
Male,Married,Self-employed,PhD,Personal,25,666449,40,800593
Female,Single,Unemployed,Diploma,Education,21,964850,53,1494359
Male,Single,Self-employed,Diploma,Medical,57,215735,23,1507913
Male,Married,Self-employed,Bachelor,Medical,21,675847,21,650699
Male,Single,Salaried,PhD,Medical,42,272299,44,1208452
Male,Widowed,Unemployed,Diploma,Personal,20,133950,9,1296729
Male,Single,Unemployed,Master,Personal,49,339638,30,734500
Female,Divorced,Self-employed,Bachelor,Housing,20,610517,37,714687
Male,Single,Self-employed,PhD,Education,44,114648,45,1038167
Female,Single,Self-employed,Bachelor,Education,46,48547,18,73331
Male,Widowed,Salaried,Master,Housing,49,563083,50,73004
Female,Married,Self-employed,High School,Personal,36,196368,22,1337017
Male,Married,Self-employed,Bachelor,Business,38,555735,54,955675
Male,Widowed,Self-employed,High School,Education,22,701958,42,1502284
Female,Single,Salaried,Diploma,Education,35,969318,11,498013
Male,Divorced,Salaried,Master,Personal,45,756111,24,239167
Male,Widowed,Unemployed,Bachelor,Medical,59,266190,18,981253
Male,Widowed,Unemployed,Diploma,Housing,39,216402,31,1948225
Female,Divorced,Self-employed,PhD,Housing,38,262419,19,1711908
Male,Single,Unemployed,High School,Medical,23,764105,36,1894053
Female,Married,Self-employed,Diploma,Housing,18,884392,59,332260
Male,Married,Self-employed,PhD,Housing,22,859710,9,592955
Female,Divorced,Unemployed,High School,Housing,58,589365,44,1435777
Female,Widowed,Self-employed,High School,Education,29,122782,13,1697069
Female,Married,Salaried,PhD,Personal,43,637220,30,1125878
Male,Married,Self-employed,Master,Medical,63,999410,18,1503075
Female,Divorced,Salaried,Diploma,Business,51,937032,37,1260583
Male,Married,Unemployed,Diploma,Housing,31,453316,43,646822
Female,Single,Unemployed,Master,Education,43,382013,43,1848278
Female,Married,Unemployed,PhD,Personal,62,935683,33,1261272
Female,Widowed,Self-employed,Bachelor,Medical,44,320925,58,1112016
Female,Divorced,Salaried,High School,Personal,26,196339,35,423145
Female,Married,Unemployed,High School,Business,43,485595,8,1407221
Male,Widowed,Unemployed,Diploma,Education,64,427168,33,444485
Male,Widowed,Self-employed,Bachelor,Housing,39,850230,8,844300
Female,Married,Self-employed,High School,Housing,64,108696,50,735611
Female,Widowed,Salaried,PhD,Business,47,513650,59,390053
Male,Single,Salaried,Master,Personal,60,60939,39,1707387
Female,Single,Salaried,Diploma,Education,34,825948,21,744089
Female,Divorced,Unemployed,Master,Housing,43,721886,27,590022
Female,Widowed,Salaried,Bachelor,Business,53,151521,37,1796365
Female,Divorced,Salaried,Diploma,Education,18,584578,43,1270985
Female,Widowed,Unemployed,PhD,Business,25,923120,13,1532117
Female,Divorced,Unemployed,Diploma,Business,52,883093,13,395744
Male,Divorced,Self-employed,Master,Personal,32,345098,11,1893441
Female,Widowed,Unemployed,Bachelor,Medical,64,819178,19,557173
Male,Married,Self-employed,Bachelor,Medical,39,602278,37,714471
Male,Married,Unemployed,Master,Personal,31,593098,40,1726850
Male,Married,Unemployed,High School,Housing,43,652650,15,1948761
Male,Widowed,Unemployed,Diploma,Personal,45,486513,8,1736647
Female,Single,Unemployed,Bachelor,Business,40,156295,17,1310231
Female,Widowed,Salaried,Master,Personal,31,475453,54,1565412
Male,Single,Self-employed,Diploma,Medical,41,667957,36,1906759
Male,Married,Unemployed,Bachelor,Medical,19,731037,34,1770389
Female,Married,Self-employed,Master,Personal,62,274803,10,1839780
Female,Divorced,Self-employed,Bachelor,Medical,43,96516,57,482184
Male,Divorced,Unemployed,Master,Housing,31,84567,30,1259725
Male,Married,Salaried,PhD,Business,24,811469,46,289654
Female,Widowed,Salaried,Diploma,Medical,20,136498,36,477991
Female,Married,Salaried,PhD,Housing,64,712098,26,1287792
Male,Single,Salaried,High School,Business,40,474894,25,1933578
Male,Divorced,Self-employed,Bachelor,Housing,63,546397,44,1275745
Female,Single,Unemployed,PhD,Housing,60,294154,27,860935
Female,Single,Salaried,Master,Education,64,805219,9,708139
Male,Married,Salaried,PhD,Business,62,773760,18,923272
Female,Married,Self-employed,High School,Education,35,149544,50,1230403
Female,Married,Self-employed,High School,Personal,55,256183,47,351407
Female,Married,Salaried,High School,Education,52,688743,55,1993499
Female,Widowed,Unemployed,PhD,Business,32,333853,54,367231
Male,Widowed,Salaried,Master,Medical,42,473001,25,625770
